Año,Clave_Ent,Entidad,Cve. Municipio,Municipio,Bien jurídico afectado,Tipo de delito,Subtipo de delito,Modalidad,Sexo,Rango de edad,Mes_num,Mes,Victimas,categoria_analisis,tipo_evento
2026,27,Tabasco,27005,Comalcalco,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma de fuego,Mujer,30 a 60 años,1,Enero,1,homicidio_doloso,consumado
2026,27,Tabasco,27005,Comalcalco,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con otro elemento,Hombre,No especificado,1,Enero,1,homicidio_doloso,consumado
2026,27,Tabasco,27005,Comalcalco,La vida y la Integridad corporal,Homicidio,Homicidio doloso,No especificado,Hombre,30 a 60 años,1,Enero,0,homicidio_doloso,consumado
2026,27,Tabasco,27006,Cunduacán,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma de fuego,Hombre,30 a 60 años,1,Enero,0,homicidio_culposo,consumado
2026,27,Tabasco,27006,Cunduacán,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con otro elemento,Hombre,30 a 60 años,1,Enero,0,homicidio_culposo,consumado
2026,27,Tabasco,27006,Cunduacán,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con otro elemento,Hombre,Más de 60 años,1,Enero,0,homicidio_culposo,consumado
2026,27,Tabasco,27006,Cunduacán,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con otro elemento,Hombre,No especificado,1,Enero,0,homicidio_culposo,consumado
2026,27,Tabasco,27006,Cunduacán,La vida y la Integridad corporal,Homicidio,Homicidio culposo,En accidente de tránsito,Hombre,18 a 29 años,1,Enero,1,homicidio_culposo,consumado
2026,27,Tabasco,27006,Cunduacán,La vida y la Integridad corporal,Homicidio,Homicidio culposo,En accidente de tránsito,Hombre,30 a 60 años,1,Enero,2,homicidio_culposo,consumado
2026,27,Tabasco,27006,Cunduacán,La vida y la Integridad corporal,Homicidio,Homicidio culposo,No especificado,Hombre,18 a 29 años,1,Enero,0,homicidio_culposo,consumado
2026,27,Tabasco,27006,Cunduacán,La vida y la Integridad corporal,Homicidio,Homicidio culposo,No especificado,Hombre,30 a 60 años,1,Enero,0,homicidio_culposo,consumado
2026,27,Tabasco,27006,Cunduacán,La vida y la Integridad corporal,Homicidio,Homicidio culposo,No especificado,Hombre,Más de 60 años,1,Enero,0,homicidio_culposo,consumado
2026,27,Tabasco,27006,Cunduacán,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma blanca,Hombre,13 a 17 años,1,Enero,0,homicidio_doloso,consumado
2026,27,Tabasco,27006,Cunduacán,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma blanca,Hombre,18 a 29 años,1,Enero,0,homicidio_doloso,consumado
2026,27,Tabasco,27006,Cunduacán,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma blanca,Hombre,30 a 60 años,1,Enero,1,homicidio_doloso,consumado
2026,27,Tabasco,27006,Cunduacán,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma de fuego,Hombre,18 a 29 años,1,Enero,0,homicidio_doloso,consumado
2026,27,Tabasco,27006,Cunduacán,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma de fuego,Hombre,30 a 60 años,1,Enero,1,homicidio_doloso,consumado
2026,27,Tabasco,27006,Cunduacán,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma de fuego,Hombre,Más de 60 años,1,Enero,0,homicidio_doloso,consumado
2026,27,Tabasco,27006,Cunduacán,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma de fuego,Hombre,No especificado,1,Enero,0,homicidio_doloso,consumado
2026,27,Tabasco,27006,Cunduacán,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con otro elemento,Hombre,18 a 29 años,1,Enero,1,homicidio_doloso,consumado
2026,27,Tabasco,27006,Cunduacán,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con otro elemento,Hombre,30 a 60 años,1,Enero,4,homicidio_doloso,consumado
2026,27,Tabasco,27006,Cunduacán,La vida y la Integridad corporal,Homicidio,Homicidio doloso,No especificado,Hombre,30 a 60 años,1,Enero,0,homicidio_doloso,consumado
2026,27,Tabasco,27007,Emiliano Zapata,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con otro elemento,Hombre,No especificado,1,Enero,0,homicidio_culposo,consumado
2026,27,Tabasco,27007,Emiliano Zapata,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con otro elemento,Mujer,30 a 60 años,1,Enero,0,homicidio_culposo,consumado
2026,27,Tabasco,27007,Emiliano Zapata,La vida y la Integridad corporal,Homicidio,Homicidio culposo,No especificado,Hombre,No especificado,1,Enero,0,homicidio_culposo,consumado
2026,27,Tabasco,27007,Emiliano Zapata,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con otro elemento,Hombre,30 a 60 años,1,Enero,0,homicidio_doloso,consumado
2026,27,Tabasco,27007,Emiliano Zapata,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con otro elemento,Mujer,30 a 60 años,1,Enero,0,homicidio_doloso,consumado
2026,27,Tabasco,27008,Huimanguillo,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con otro elemento,Hombre,18 a 29 años,1,Enero,0,homicidio_culposo,consumado
2026,27,Tabasco,27008,Huimanguillo,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con otro elemento,Hombre,30 a 60 años,1,Enero,0,homicidio_culposo,consumado
2026,27,Tabasco,27008,Huimanguillo,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con otro elemento,Hombre,Más de 60 años,1,Enero,0,homicidio_culposo,consumado
2026,27,Tabasco,27008,Huimanguillo,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con otro elemento,Hombre,No especificado,1,Enero,0,homicidio_culposo,consumado
2026,27,Tabasco,27008,Huimanguillo,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con otro elemento,Mujer,30 a 60 años,1,Enero,0,homicidio_culposo,consumado
2026,27,Tabasco,27008,Huimanguillo,La vida y la Integridad corporal,Homicidio,Homicidio culposo,En accidente de tránsito,Hombre,13 a 17 años,1,Enero,1,homicidio_culposo,consumado
2026,27,Tabasco,27008,Huimanguillo,La vida y la Integridad corporal,Homicidio,Homicidio culposo,En accidente de tránsito,Hombre,18 a 29 años,1,Enero,0,homicidio_culposo,consumado
2026,27,Tabasco,27008,Huimanguillo,La vida y la Integridad corporal,Homicidio,Homicidio culposo,En accidente de tránsito,Hombre,Más de 60 años,1,Enero,0,homicidio_culposo,consumado
2026,27,Tabasco,27008,Huimanguillo,La vida y la Integridad corporal,Homicidio,Homicidio culposo,No especificado,Hombre,13 a 17 años,1,Enero,0,homicidio_culposo,consumado
2026,27,Tabasco,27008,Huimanguillo,La vida y la Integridad corporal,Homicidio,Homicidio culposo,No especificado,Hombre,30 a 60 años,1,Enero,0,homicidio_culposo,consumado
2026,27,Tabasco,27008,Huimanguillo,La vida y la Integridad corporal,Homicidio,Homicidio culposo,No especificado,Hombre,No especificado,1,Enero,0,homicidio_culposo,consumado
2026,27,Tabasco,27008,Huimanguillo,La vida y la Integridad corporal,Homicidio,Homicidio culposo,No especificado,Mujer,13 a 17 años,1,Enero,0,homicidio_culposo,consumado
2026,27,Tabasco,27008,Huimanguillo,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma blanca,Hombre,18 a 29 años,1,Enero,0,homicidio_doloso,consumado
2026,27,Tabasco,27008,Huimanguillo,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma blanca,Hombre,30 a 60 años,1,Enero,1,homicidio_doloso,consumado
2026,27,Tabasco,27008,Huimanguillo,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma blanca,Hombre,No especificado,1,Enero,0,homicidio_doloso,consumado
2026,27,Tabasco,27008,Huimanguillo,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma de fuego,Hombre,13 a 17 años,1,Enero,0,homicidio_doloso,consumado
2026,27,Tabasco,27008,Huimanguillo,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma de fuego,Hombre,18 a 29 años,1,Enero,1,homicidio_doloso,consumado
2026,27,Tabasco,27008,Huimanguillo,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma de fuego,Hombre,30 a 60 años,1,Enero,4,homicidio_doloso,consumado
2026,27,Tabasco,27008,Huimanguillo,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma de fuego,Hombre,No especificado,1,Enero,2,homicidio_doloso,consumado
2026,27,Tabasco,27008,Huimanguillo,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma de fuego,Mujer,30 a 60 años,1,Enero,1,homicidio_doloso,consumado
2026,27,Tabasco,27008,Huimanguillo,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma de fuego,Mujer,No especificado,1,Enero,0,homicidio_doloso,consumado
2026,27,Tabasco,27009,Jalapa,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con otro elemento,Hombre,18 a 29 años,1,Enero,0,homicidio_culposo,consumado
2026,27,Tabasco,27009,Jalapa,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con otro elemento,Hombre,Más de 60 años,1,Enero,0,homicidio_culposo,consumado
